City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Colares,PT,38.7992,-9.4469,59.0,58,0,6.91,clear sky
242,Leningradskiy,RU,69.3833,178.4167,-3.57,86,47,8.48,scattered clouds
243,Meulaboh,ID,4.1363,96.1285,76.57,89,83,6.17,broken clouds
244,Camocim,BR,-2.9022,-40.8411,75.99,89,99,4.72,light rain
245,Polignano A Mare,IT,40.9959,17.2159,53.01,100,99,5.75,overcast clouds
246,Kota Kinabalu,MY,5.9749,116.0724,80.6,78,20,4.61,few clouds
247,Kralendijk,BQ,12.15,-68.2667,78.8,78,40,14.97,scattered clouds
248,Airai,TL,-8.9266,125.4092,65.98,82,100,2.62,overcast clouds
249,Vendas Novas,PT,38.6771,-8.4579,59.0,77,0,8.05,clear sky
250,Anadyr,RU,64.75,177.4833,1.4,71,0,13.42,clear sky
251,Karpathos,GR,35.507,27.2132,53.6,50,1,4.61,clear sky
252,Santa Cruz De La Palma,ES,28.6835,-17.7642,64.4,63,0,6.91,clear sky
253,Broken Hill,AU,-31.95,141.4333,62.6,55,9,11.5,clear sky
254,Nizhnevartovsk,RU,60.9344,76.5531,17.6,79,90,6.71,overcast clouds
255,Esperance,AU,-33.8667,121.9,59.0,94,26,8.05,scattered clouds
256,Vao,NC,-22.6667,167.4833,77.99,80,13,13.18,few clouds
257,Valdemarpils,LV,57.3707,22.5919,41.0,93,90,16.11,overcast clouds
258,Bay Roberts,CA,47.5999,-53.2648,27.0,95,100,11.01,light snow
259,Yenagoa,NG,4.9247,6.2642,77.7,88,99,3.24,overcast clouds
260,Touros,BR,-5.1989,-35.4608,77.0,94,75,2.3,broken clouds
261,Tarrega,ES,41.647,1.1396,50.0,87,11,2.46,few clouds
262,Souillac,MU,-20.5167,57.5167,73.4,94,75,5.75,broken clouds
263,Sokolo,ML,14.7328,-6.1219,84.42,10,1,13.8,clear sky
264,Port Hardy,CA,50.6996,-127.4199,48.2,76,90,13.8,light rain
265,Raudeberg,NO,61.9875,5.1352,39.0,89,89,14.58,overcast clouds
266,Ancud,CL,-41.8697,-73.8203,54.0,82,0,5.75,clear sky
267,Noumea,NC,-22.2763,166.4572,87.8,62,0,10.36,clear sky
268,Yarkovo,RU,57.4028,67.0786,24.28,90,100,11.59,overcast clouds
269,Port-Gentil,GA,-0.7193,8.7815,78.8,94,20,2.3,few clouds
