City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
469,George Town,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
471,Angoche,MZ,77.5,few clouds,-16.2325,39.9086,Guest House HESADA
472,Comodoro Rivadavia,AR,73.4,clear sky,-45.8667,-67.5,Austral Hotel
474,Media Luna,CU,81.3,scattered clouds,20.1419,-77.435,Casa particular Pedro y Tamara
477,Chilca,PE,70.0,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
479,Altamira,BR,73.08,broken clouds,-3.2033,-52.2064,Requinte Hotel
481,Warri,NG,77.61,overcast clouds,5.5167,5.75,BON Hotel Delta
483,Carutapera,BR,74.68,broken clouds,-1.195,-46.02,Lidera
486,Mala,PE,70.7,scattered clouds,-12.6581,-76.6308,Hotel Granda
488,Cabedelo,BR,78.8,broken clouds,-6.9811,-34.8339,Hotel Pigalle
491,Ambilobe,MG,71.98,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
492,Yorosso,ML,87.44,clear sky,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
496,San Matias,BO,79.07,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
500,Rincon,US,77.0,broken clouds,32.296,-81.2354,Days Inn Rincon
501,Ciamis,ID,75.96,broken clouds,-7.3257,108.3534,The Priangan Boutique Hotel @ Yos Sudarso
502,Bowen,AU,82.4,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
503,Tomatlan,MX,80.89,overcast clouds,19.9333,-105.25,Norma franco
504,Payo,ID,73.17,overcast clouds,-3.7508,103.6372,Mess keban agung
505,Gladstone,AU,80.6,scattered clouds,-23.85,151.25,Highpoint International
511,Santa Paula,US,73.99,clear sky,34.3542,-119.0593,Santa Paula Inn
520,Omboue,GA,78.75,broken clouds,-1.5746,9.2618,Hotel Olako
522,Talara,PE,78.8,clear sky,-4.5772,-81.2719,Hostal Oro Negro
523,Alta Floresta,BR,77.0,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
529,Kagoro,NG,75.29,clear sky,9.6,8.3833,Palm Garden Hotel
530,Sunrise Manor,US,73.4,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
531,Avera,US,78.8,clear sky,33.194,-82.5271,
532,West Bay,KY,82.4,few clouds,19.3667,-81.4167,Calypso Cove
533,Campina Verde,BR,76.1,clear sky,-19.5356,-49.4864,Hotel Lino
536,Banda Aceh,ID,79.47,broken clouds,5.5577,95.3222,Sulthan Hotel International
540,Kindia,GN,70.52,scattered clouds,10.0569,-12.8658,LES EAUX DE KILISSI
544,Barpali,IN,75.18,clear sky,21.2,83.5833,GREEN HOUSE LODGE
546,Ravar,IR,74.14,few clouds,31.2656,56.8055,computertik
548,Makakilo City,US,84.2,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
549,Labuan,MY,77.0,few clouds,5.2767,115.2417,Tiara Labuan Hotel
551,Cururupu,BR,72.41,broken clouds,-1.8283,-44.8683,Pousada Través'cia
554,Srandakan,ID,78.64,broken clouds,-7.9386,110.2506,Puri Brata
556,Hualmay,PE,70.38,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
558,Russell,US,80.6,clear sky,32.3502,-85.1999,Macs
565,Salinopolis,BR,77.61,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
567,Cap Malheureux,MU,77.0,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
568,Eyl,SO,77.45,overcast clouds,7.9803,49.8164,Amiin Hotel
571,Vilhena,BR,78.8,few clouds,-12.7406,-60.1458,Hotel Mirage
576,El Alto,PE,78.8,clear sky,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
578,Farafangana,MG,74.17,clear sky,-22.8167,47.8333,Miarina
